"Occupation","Annual_Income","Monthly_Inhand_Salary","Num_Bank_Accounts","Num_Credit_Card","Interest_Rate","Num_of_Loan","Delay_from_due_date","Num_of_Delayed_Payment","Changed_Credit_Limit","Num_Credit_Inquiries","Credit_Mix","Outstanding_Debt","Credit_Utilization_Ratio","Payment_of_Min_Amount","Credit_Score"
"2",15989.08,1086.42,5,4,2,4,13,15,0.5,3,"2",665.82,22.97,"0","2"
"2",15989.08,1086.42,5,4,2,4,11,16,0.5,3,"2",665.82,37.79,"0","2"
"2",15989.08,1086.42,5,4,2,4,10,15,0.5,3,"2",665.82,30.01,"0","2"
"2",15989.08,1086.42,5,4,2,4,8,15,0.5,3,"2",665.82,28.46,"0","2"
"2",15989.08,1086.42,5,4,2,4,13,15,0.5,3,"2",665.82,36.91,"0","2"
"2",15989.08,1086.42,5,4,2,4,13,15,0.5,3,"2",665.82,33.29,"0","2"
"2",15989.08,1086.42,5,4,2,4,13,15,0.5,3,"2",665.82,40.7,"0","2"
"1",129473.16,10959.43,3,4,10,3,25,13,8.61,8,"1",568.21,31.45,"1","1"
"1",129473.16,10959.43,3,4,10,3,25,13,8.61,10,"1",568.21,33.87,"1","2"
"0",33441.59,2748.8,2,4,1,0,5,4,14.58,1,"2",154.96,22.91,"0","1"
"0",33441.59,2748.8,2,4,1,0,1,4,9.58,5,"2",154.96,35.47,"0","1"
"0",33441.59,2748.8,2,4,1,0,1,4,9.58,1,"2",154.96,30.84,"0","1"
"0",33441.59,2748.8,2,4,1,0,5,3,9.58,5,"2",154.96,26.47,"0","1"
"0",33441.59,2748.8,2,4,1,0,1,6,9.58,5,"2",154.96,29.17,"0","1"
"0",33441.59,2748.8,2,4,1,0,1,4,9.58,5,"2",154.96,25.65,"0","1"
"0",33441.59,2748.8,2,4,1,0,1,3,12.58,5,"2",154.96,38.12,"0","1"
"0",33441.59,2748.8,2,4,1,0,1,4,9.58,5,"2",154.96,35.98,"0","1"
"2",42387.54,3680.3,3,7,26,7,7,8,14.34,7,"1",1835.67,34.1,"1","0"
"2",42387.54,3680.3,3,7,26,7,9,10,14.34,7,"1",1835.67,37.04,"1","1"
"2",42387.54,3680.3,3,7,26,7,9,8,14.34,7,"1",1835.67,36.93,"1","0"
"2",42387.54,3680.3,3,7,26,7,9,8,14.34,7,"1",1835.67,28.59,"1","0"
"2",42387.54,3680.3,3,7,26,7,11,5,14.34,7,"1",1835.67,26.08,"1","0"
"2",42387.54,3680.3,3,7,26,7,9,8,14.34,7,"1",1835.67,30.91,"1","0"
"2",42387.54,3680.3,3,7,26,7,9,8,10.34,7,"1",1835.67,28.75,"1","0"
"0",14981.39,1461.45,2,7,5,4,0,6,0.63,4,"2",1122.46,27.63,"0","1"
"0",14981.39,1461.45,2,7,5,4,2,6,0.63,4,"2",1122.46,35.5,"0","1"
"0",14981.39,1461.45,2,7,5,4,2,6,0.63,4,"2",1122.46,38.08,"0","1"
"0",14981.39,1461.45,2,7,5,4,1,6,0.63,4,"2",1122.46,27.45,"0","1"
"0",14981.39,1461.45,2,7,5,4,-3,8,0.63,4,"2",1122.46,24.45,"0","1"
"0",14981.39,1461.45,2,7,5,4,2,6,0.63,4,"2",1122.46,38.68,"0","1"
"0",14981.39,1461.45,2,7,5,4,2,6,-4.37,4,"2",1122.46,34.79,"0","1"
"0",14981.39,1461.45,2,7,5,4,5,6,0.63,4,"2",1122.46,39.64,"0","1"
"2",19180.87,1688.41,8,4,18,4,7,17,5.32,1,"1",1127.57,33.15,"0","1"
"2",19180.87,1688.41,8,4,18,4,4,17,9.32,1,"1",1127.57,28.24,"0","1"
"2",19180.87,1688.41,8,4,18,4,5,18,9.32,1,"1",1127.57,25.77,"0","1"
"2",19180.87,1688.41,8,4,18,4,5,17,12.32,6,"1",1127.57,32,"0","1"
"2",19180.87,1688.41,8,4,18,4,9,16,12.32,6,"1",1127.57,37.27,"0","1"
"2",19180.87,1688.41,8,4,18,4,5,17,5.32,6,"1",1127.57,23.76,"0","1"
"2",19180.87,1688.41,8,4,18,4,5,17,9.32,6,"1",1127.57,37.75,"0","1"
"2",19180.87,1688.41,8,4,18,4,5,17,9.32,6,"1",1127.57,29.47,"0","1"
"1",11336.83,992.74,4,6,14,6,28,19,13.44,7,"1",177.98,32.8,"1","1"
"1",11336.83,992.74,4,6,14,6,30,19,11.44,7,"1",177.98,26.56,"1","1"
"1",11336.83,992.74,4,6,14,6,30,17,16.44,7,"1",177.98,32.22,"1","1"
"1",11336.83,992.74,4,6,14,6,30,19,16.44,7,"1",177.98,36.68,"1","1"
"1",11336.83,992.74,4,6,14,6,30,22,16.44,7,"1",177.98,28.39,"1","1"
"1",11336.83,992.74,4,6,14,6,30,19,16.44,7,"1",177.98,37.72,"1","1"
"2",35022.22,2859.52,3,5,4,1,6,11,1.36,0,"2",1000.44,33.87,"0","1"
"2",35022.22,2859.52,3,5,4,1,1,10,1.36,0,"2",1000.44,36.51,"0","1"
"2",35022.22,2859.52,3,5,4,1,6,11,1.36,5,"2",1000.44,24.01,"0","2"
"2",35022.22,2859.52,3,5,4,1,3,11,1.36,5,"2",1000.44,33.2,"0","2"
"2",35022.22,2859.52,3,5,4,1,6,11,-2.64,5,"2",1000.44,31.67,"0","2"
"2",35022.22,2859.52,3,5,4,1,6,11,1.36,5,"2",1000.44,26.72,"0","2"
"0",16053.86,1196.82,8,6,24,5,24,16,0.83,8,"0",2107.76,38.15,"1","0"
"0",16053.86,1196.82,8,6,24,5,24,19,0.83,8,"0",2107.76,40.58,"1","0"
"0",16053.86,1196.82,8,6,24,5,24,16,0.83,8,"0",2107.76,31.07,"1","0"
"0",16053.86,1196.82,8,6,24,5,24,16,0.83,8,"0",2107.76,36.82,"1","0"
"0",16053.86,1196.82,8,6,24,5,24,17,0.83,8,"0",2107.76,36.77,"1","0"
"0",16053.86,1196.82,8,6,24,5,29,14,0.83,8,"0",2107.76,40.61,"1","0"
"0",16053.86,1196.82,8,6,24,5,29,13,7.83,8,"0",2107.76,24.73,"1","0"
"0",16053.86,1196.82,8,6,24,5,27,18,0.83,12,"0",2107.76,36.85,"1","0"
"0",86617.16,7250.1,8,4,6,3,16,20,10.26,4,"1",718.53,30.66,"0","1"
"0",86617.16,7250.1,8,4,6,3,16,20,10.26,4,"1",718.53,28.49,"0","1"
"0",86617.16,7250.1,8,4,6,3,17,20,10.26,4,"1",718.53,37.13,"0","1"
"0",86617.16,7250.1,8,4,6,3,16,20,10.26,4,"1",718.53,27.86,"0","1"
"2",34428.21,2575.02,2,4,8,0,3,12,8.51,0,"2",180.7,38.4,"0","2"
"2",34428.21,2575.02,2,4,8,0,3,14,8.51,0,"2",180.7,37.28,"0","2"
"2",34428.21,2575.02,2,4,8,0,3,12,8.51,0,"2",180.7,27.42,"0","1"
"2",34428.21,2289.59,2,4,8,0,3,12,8.51,0,"2",180.7,25.26,"0","2"
"2",34428.21,2289.59,2,4,8,0,5,11,8.51,0,"2",180.7,38.32,"0","2"
"2",34428.21,2289.59,2,4,8,0,8,12,8.51,0,"2",180.7,35.13,"0","2"
"1",128698.76,10628.9,7,5,10,4,11,14,10.67,12,"1",583.11,41.73,"1","1"
"2",58637.34,4799.44,4,6,10,3,9,20,12.56,5,"1",208.8,34.88,"1","1"
"2",58637.34,4799.44,4,6,10,3,9,17,5.56,5,"1",208.8,40.76,"1","1"
"2",58637.34,4799.44,4,6,10,3,9,17,12.56,5,"1",208.8,27.56,"1","1"
"2",58637.34,4799.44,4,6,10,3,9,17,12.56,5,"1",208.8,25.23,"1","1"
"1",24709.33,2086.11,5,5,6,3,23,9,7,1,"2",413.18,33.17,"0","0"
"1",24709.33,1933.47,5,5,6,3,27,8,7,1,"2",413.18,32.78,"0","0"
"1",24709.33,1933.47,5,5,6,3,27,11,7,1,"2",413.18,32.76,"0","0"
"1",49718.55,4179.21,7,10,27,6,27,16,5.5,7,"0",1920.25,31.18,"1","0"
"1",49718.55,4179.21,7,10,27,6,27,16,5.5,7,"0",1920.25,33.19,"1","0"
"1",49718.55,4179.21,7,10,27,6,27,16,5.5,7,"0",1920.25,30.48,"1","0"
"1",49718.55,4179.21,7,10,27,6,27,17,5.5,7,"0",1920.25,39.22,"1","0"
"1",49718.55,4179.21,7,10,27,6,27,16,5.5,7,"0",1920.25,34.67,"1","0"
"1",49718.55,4179.21,7,10,27,6,27,16,5.5,7,"0",1920.25,33.53,"1","1"
"1",49718.55,4179.21,7,10,27,6,28,19,5.5,7,"0",1920.25,30.5,"1","0"
"1",49718.55,4179.21,7,10,27,6,27,17,10.5,7,"0",1920.25,30.11,"1","1"
"1",75095.91,6269.99,5,6,15,6,7,9,7.53,8,"1",989.71,41.26,"1","1"
"1",75095.91,6269.99,5,6,15,6,9,11,17.53,8,"1",989.71,26.75,"1","1"
"1",75095.91,6269.99,5,6,15,6,9,8,13.53,8,"1",989.71,30.47,"1","1"
"2",42153.13,3377.76,5,4,10,3,10,10,4.81,4,"2",1027.64,37.19,"0","1"
"2",42153.13,3377.76,5,4,10,3,10,11,4.81,4,"2",1027.64,32.21,"0","1"
"2",42153.13,3377.76,5,4,10,3,10,11,4.81,4,"2",1027.64,26.53,"0","1"
"2",42153.13,3377.76,5,4,10,3,5,11,4.81,4,"2",1027.64,37.7,"0","1"
"2",42153.13,3377.76,5,4,10,3,8,9,4.81,7,"2",1027.64,24.82,"0","1"
"2",42153.13,3377.76,5,4,10,3,10,9,4.81,7,"2",1027.64,26.34,"0","1"
"2",12931.56,1348.63,4,4,9,3,21,20,18.51,3,"1",752.86,38.24,"1","1"
"2",12931.56,1348.63,4,4,9,3,19,20,18.51,3,"1",752.86,23.21,"1","1"
"2",12931.56,1348.63,4,4,9,3,19,19,18.51,3,"1",752.86,25.66,"1","1"
"2",12931.56,1348.63,4,4,9,3,19,20,18.51,3,"1",752.86,29.15,"1","0"
"2",12931.56,1348.63,4,4,9,3,19,20,18.51,3,"1",752.86,26.4,"1","0"
"2",12931.56,1348.63,4,4,9,3,19,20,18.51,3,"1",752.86,23.22,"1","0"
"2",12931.56,1348.63,4,4,9,3,19,20,18.51,3,"1",752.86,33.79,"1","0"
"2",12931.56,1348.63,4,4,9,3,18,20,18.51,3,"1",752.86,27.71,"1","0"
"0",20652.98,1468.08,7,5,21,2,22,13,15.58,8,"1",1859.53,33.41,"1","0"
"0",20652.98,1468.08,7,5,21,2,22,11,15.58,8,"1",1859.53,32.51,"1","0"
"0",20652.98,1468.08,7,5,21,2,22,16,15.58,8,"1",1859.53,33.06,"1","0"
"0",20652.98,1468.08,7,5,21,2,23,13,15.58,8,"1",1859.53,26.54,"1","0"
"0",20652.98,1468.08,7,5,21,2,23,15,11.58,8,"1",1859.53,27.47,"1","0"
"0",20652.98,1468.08,7,5,21,2,22,13,15.58,8,"1",1859.53,38.79,"1","1"
"0",20652.98,1468.08,7,5,21,2,24,10,8.58,8,"1",1859.53,37.44,"1","0"
"1",31641.93,2610.83,4,6,7,3,25,12,9.37,1,"1",583.6,32.43,"0","1"
"1",31641.93,2610.83,4,6,7,3,24,12,11.37,1,"1",583.6,32.31,"0","1"
"1",31641.93,2610.83,4,6,7,3,25,12,9.37,1,"1",583.6,23.88,"0","1"
"1",31641.93,2610.83,4,6,7,3,25,12,9.37,1,"1",583.6,25.94,"0","1"
"1",31641.93,2610.83,4,6,7,3,25,12,9.37,1,"1",583.6,37.56,"0","1"
"1",31641.93,2610.83,4,6,7,3,25,12,9.37,1,"1",583.6,36.91,"0","0"
"0",49140.87,4377.07,10,6,27,6,35,18,9.66,11,"0",2950.8,34.14,"1","1"
"0",49140.87,4377.07,10,6,27,6,35,18,16.66,11,"0",2950.8,26.59,"1","1"
"0",49140.87,4377.07,10,6,27,6,35,18,16.66,11,"0",2950.8,40.66,"1","1"
"0",49140.87,4377.07,10,6,27,6,35,16,21.66,11,"0",2950.8,28.71,"1","1"
"0",49140.87,4377.07,10,6,27,6,40,18,16.66,11,"0",2950.8,28.45,"1","1"
"0",49140.87,4377.07,10,6,27,6,35,18,16.66,11,"0",2950.8,31.16,"1","1"
"2",130435.86,10623.66,4,6,9,2,17,1,10.85,0,"2",942.71,33.86,"0","1"
"1",17603.26,1427.94,8,6,4,0,7,10,6.27,4,"1",836.66,32.79,"0","1"
"1",17603.26,1427.94,8,6,4,0,9,10,11.27,4,"1",836.66,31.92,"0","1"
"1",17603.26,1427.94,8,6,4,0,9,10,6.27,4,"1",836.66,25.12,"0","1"
"1",17603.26,1427.94,8,6,4,0,9,7,6.27,4,"1",836.66,27.04,"0","1"
"1",17603.26,1427.94,8,6,4,0,9,7,6.27,4,"1",836.66,30.33,"0","1"
"1",17603.26,1324.95,8,6,4,0,11,10,7.27,4,"1",836.66,27.11,"0","2"
"1",17603.26,1324.95,8,6,4,0,9,12,10.27,4,"1",836.66,41.79,"0","2"
"1",16718.64,1270.22,7,3,15,4,31,11,11.45,0,"1",853.41,30.24,"0","1"
"1",16718.64,1270.22,7,3,15,4,26,12,11.45,0,"1",853.41,35.57,"0","1"
"1",16718.64,1270.22,7,3,15,4,26,14,11.45,1,"1",853.41,35.39,"0","2"
"1",16718.64,1270.22,7,3,15,4,23,10,11.45,1,"1",853.41,26.35,"0","2"
"1",16718.64,1270.22,7,3,15,4,26,11,18.45,1,"1",853.41,31.4,"0","2"
"1",23627.63,1712.97,7,3,19,3,6,15,1.23,1,"1",277.93,37,"0","1"
"1",23627.63,1712.97,7,3,19,3,6,12,1.23,1,"1",277.93,24.05,"0","1"
"1",23627.63,1712.97,7,3,19,3,6,12,1.23,1,"1",277.93,28.16,"0","1"
"1",23627.63,1712.97,7,3,19,3,6,12,1.23,1,"1",277.93,40.28,"0","1"
"1",60830.92,5044.24,0,1,11,4,15,3,7.41,0,"2",133.63,30.45,"0","2"
"1",60830.92,5044.24,0,1,11,4,11,3,7.41,0,"2",133.63,25.22,"0","2"
"1",60830.92,5044.24,0,1,11,4,14,3,7.41,0,"2",133.63,27.36,"0","1"
"1",60830.92,5044.24,0,1,11,4,14,3,7.41,0,"2",133.63,36.86,"0","2"
"1",60830.92,5044.24,0,1,11,4,16,3,14.41,0,"2",133.63,32.3,"0","2"
"1",60830.92,5044.24,0,1,11,4,14,3,7.41,0,"2",133.63,27.5,"0","1"
"1",60830.92,5044.24,0,1,11,4,14,3,7.41,0,"2",133.63,38.71,"0","1"
"2",105645.6,9090.8,5,4,5,4,28,17,2.41,1,"1",1336.91,33.39,"0","1"
"2",105645.6,9090.8,5,4,5,4,23,19,2.41,1,"1",1336.91,27.26,"0","1"
"2",105645.6,9090.8,4,3,5,4,28,19,2.41,1,"1",1336.91,38.17,"0","1"
"2",105645.6,9090.8,4,3,5,4,28,19,2.41,1,"1",1336.91,30.53,"0","1"
"2",105645.6,9090.8,4,3,5,4,31,21,2.41,4,"1",1336.91,29.81,"0","1"
"2",105645.6,9090.8,4,3,5,4,28,19,2.41,4,"1",1336.91,40.46,"0","1"
"0",9929.24,828.44,4,8,23,3,13,16,11.5,10,"1",2328.08,26.31,"1","1"
"0",9929.24,828.44,4,8,23,3,10,18,11.5,14,"1",2328.08,32.02,"1","0"
"0",9929.24,828.44,4,8,23,3,13,18,11.5,14,"1",2328.08,23.32,"1","0"
"0",9929.24,828.44,4,8,23,3,13,15,11.5,14,"1",2328.08,31.35,"1","0"
"0",9929.24,828.44,4,8,23,3,13,18,11.5,14,"1",2328.08,24.71,"1","0"
"0",9929.24,828.44,4,8,23,3,13,18,11.5,14,"1",2328.08,35.53,"1","1"
"1",43133.85,3432.49,10,10,31,7,43,24,6.41,9,"0",2504.1,29.54,"1","0"
"1",43133.85,3432.49,10,10,31,7,43,22,10.41,11,"0",2504.1,34.16,"1","0"
"1",43133.85,3432.49,10,10,31,7,38,21,6.41,11,"0",2504.1,25.45,"1","0"
"1",43133.85,3432.49,10,10,31,7,43,24,6.41,11,"0",2504.1,37.5,"1","0"
"1",43133.85,3432.49,10,10,31,7,43,24,6.41,11,"0",2504.1,37.85,"1","0"
"1",43133.85,3432.49,10,10,31,7,43,24,6.41,11,"0",2504.1,23.2,"1","0"
"1",43133.85,3432.49,10,10,31,7,38,24,6.41,11,"0",2504.1,36.91,"1","1"
"1",43133.85,3432.49,10,10,31,7,43,24,6.41,11,"0",2504.1,27.12,"1","1"
"2",64933.76,5368.15,3,3,33,4,15,17,16.04,6,"1",2699.17,24.86,"1","0"
"2",64933.76,5368.15,3,3,33,4,15,19,19.04,6,"1",2699.17,32.01,"1","0"
"2",64933.76,5368.15,3,3,33,4,20,19,19.04,6,"1",2699.17,30.82,"1","0"
"2",64933.76,5368.15,3,3,33,4,15,19,19.04,6,"1",2699.17,32.3,"1","0"
"2",64933.76,5368.15,3,3,33,4,15,19,19.04,6,"1",2699.17,29.72,"1","0"
"2",64933.76,5368.15,3,3,33,4,15,19,13.04,11,"1",2699.17,24.96,"1","1"
"1",28315.95,2415.66,4,7,10,2,8,8,12.34,4,"2",677.4,40.79,"0","2"
"1",28315.95,2415.66,4,7,10,2,8,7,10.34,4,"2",677.4,29.31,"0","2"
"1",28315.95,2415.66,4,7,10,2,8,8,10.34,4,"2",677.4,37.76,"0","1"
"1",28315.95,2415.66,4,7,10,2,8,8,10.34,4,"2",677.4,29.04,"0","2"
"1",28315.95,2415.66,4,7,10,2,5,8,10.34,4,"2",677.4,39.82,"0","2"
"1",28315.95,2415.66,4,7,10,2,8,6,10.34,4,"2",677.4,37.22,"0","2"
"1",28315.95,2415.66,4,7,10,2,4,7,10.34,4,"2",677.4,33.87,"0","1"
"1",28315.95,2415.66,4,7,10,2,8,8,10.34,4,"2",677.4,26.91,"0","2"
"1",12660.16,909.01,5,7,15,0,15,12,9.1,2,"1",456.02,38.01,"0","1"
"1",12660.16,909.01,5,7,15,0,10,14,9.1,2,"1",456.02,23.66,"0","1"
"1",12660.16,909.01,5,7,15,0,10,14,9.1,2,"1",456.02,36.25,"0","1"
"1",12660.16,909.01,5,7,15,0,11,14,9.1,2,"1",456.02,27.11,"0","1"
"1",12660.16,909.01,5,7,15,0,7,14,2.1,2,"1",456.02,23.02,"0","1"
"1",12660.16,909.01,5,7,15,0,10,17,15.1,2,"1",456.02,23.34,"0","1"
"1",12660.16,909.01,5,7,15,0,15,14,9.1,2,"1",456.02,37.03,"0","0"
"1",39576.59,3199.05,0,7,2,4,18,4,4.62,1,"2",226.37,23.09,"0","0"
"1",39576.59,3199.05,0,7,2,4,14,4,10.62,1,"2",226.37,31.94,"0","0"
"1",39576.59,3199.05,0,7,2,4,14,4,-2.38,1,"2",226.37,33.29,"0","0"
"1",39576.59,3199.05,0,7,2,4,14,4,8.62,1,"2",226.37,39.89,"0","0"
"1",39576.59,3199.05,0,7,2,4,14,1,4.62,1,"2",226.37,35.16,"0","0"
"1",39576.59,3199.05,0,7,2,4,14,6,4.62,1,"2",226.37,29.27,"0","0"
"1",39576.59,3199.05,0,7,2,4,11,4,6.62,3,"2",226.37,24.77,"0","0"
"1",39576.59,3199.05,0,7,2,4,14,4,4.62,3,"2",226.37,29.33,"0","0"
"2",16341.08,1292.76,4,4,6,2,4,22,11.63,0,"1",684.05,34.05,"0","1"
"2",16341.08,1292.76,4,4,6,2,8,19,4.63,0,"1",684.05,32.83,"0","1"
"2",16341.08,1292.76,4,4,6,2,5,19,11.63,0,"1",684.05,39.06,"0","1"
"2",16341.08,1292.76,4,4,6,2,8,19,11.63,4,"1",684.05,33.8,"0","1"
"2",16341.08,1292.76,4,4,6,2,8,19,10.63,4,"1",684.05,28.83,"0","1"
"2",16341.08,1292.76,4,4,6,2,7,20,11.63,4,"1",684.05,25.55,"0","1"
"2",43062.54,3607.54,6,10,23,2,55,20,24.05,9,"1",2169.75,31.35,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,20,19.05,9,"1",2169.75,27.38,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,20,19.05,9,"1",2169.75,26.64,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,20,19.05,9,"1",2169.75,24.26,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,22,19.05,13,"1",2169.75,39.21,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,20,19.05,13,"1",2169.75,35.74,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,20,19.05,13,"1",2169.75,32.95,"1","0"
"2",43062.54,3607.54,6,10,23,2,55,20,19.05,13,"1",2169.75,30.04,"1","0"
"0",28952.76,2338.73,7,9,21,8,41,25,2.46,11,"0",2717.85,32.42,"1","0"
"0",28952.76,2338.73,7,9,21,8,41,25,2.46,11,"0",2717.85,29.65,"1","0"
"0",28952.76,2338.73,7,9,21,8,37,23,2.46,11,"0",2717.85,33.57,"1","0"
"2",76284.72,6451.06,6,10,18,6,24,12,11.69,9,"1",1957.32,29.76,"1","0"
"2",76284.72,6451.06,6,10,18,6,26,12,11.69,11,"1",1957.32,36.71,"1","1"
"2",76284.72,6451.06,6,10,18,6,19,12,11.69,11,"1",1957.32,36.97,"1","0"
"2",76284.72,6451.06,6,10,18,6,26,9,11.69,11,"1",1957.32,41.3,"1","0"
"2",76284.72,6451.06,6,10,18,6,24,12,11.69,11,"1",1957.32,29.5,"1","0"
"2",76284.72,6451.06,6,10,18,6,24,12,6.69,11,"1",1957.32,29.36,"1","0"
"0",56301.9,4593.82,9,5,26,2,15,18,14.73,9,"1",2161.23,34.35,"1","0"
"0",56301.9,4593.82,9,5,26,2,15,18,17.73,9,"1",2161.23,28.46,"1","0"
"0",56301.9,4593.82,9,5,26,2,16,19,10.73,9,"1",2161.23,28.72,"1","0"
"0",56301.9,4593.82,9,5,26,2,18,18,14.73,9,"1",2161.23,26.46,"1","0"
"0",56301.9,4593.82,9,5,26,2,15,17,20.73,9,"1",2161.23,34.63,"1","0"
"0",56301.9,4593.82,9,5,26,2,15,20,15.73,14,"1",2161.23,35.56,"1","0"
"0",56301.9,4593.82,9,5,26,2,15,18,14.73,14,"1",2161.23,37.38,"1","0"
"1",70277.22,5633.44,3,6,7,3,5,12,11.05,3,"2",762.48,36.56,"0","1"
"1",70277.22,5633.44,3,6,7,3,0,11,11.05,3,"2",762.48,29.13,"0","1"
"1",70277.22,5633.44,3,6,7,3,5,11,11.05,3,"2",762.48,37.78,"0","1"
"1",70277.22,5633.44,3,6,7,3,5,11,11.05,7,"2",762.48,28.17,"0","2"
"1",70277.22,5633.44,3,6,7,3,5,12,11.05,7,"2",762.48,37.5,"0","2"
"1",70277.22,5633.44,3,6,7,3,8,14,11.05,7,"2",762.48,35.34,"0","2"
"0",15264.98,1266.08,6,5,34,3,30,18,9.68,12,"0",2375.88,24.64,"1","0"
"0",15264.98,1266.08,6,5,34,3,26,15,7.68,12,"0",2375.88,24.76,"1","0"
"0",15264.98,1266.08,6,5,34,3,26,15,9.68,12,"0",2375.88,40.43,"1","0"
"0",15264.98,1266.08,6,5,34,3,26,15,9.68,12,"0",2375.88,35.51,"1","1"
"0",15264.98,1266.08,6,5,34,3,26,15,9.68,14,"0",2375.88,26.78,"1","1"
"0",15264.98,1266.08,6,5,34,3,26,15,9.68,14,"0",2375.88,29.63,"1","1"
"0",15264.98,1266.08,6,5,34,3,26,14,9.68,14,"0",2375.88,36.59,"1","0"
